address,bathrooms,bedrooms,parking,landArea,price,primaryPropertyType,propertyFeatures,state,suburb,postcode
Reservoir VIC 3073,2,2,1,127,,New Developments,"Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Reservoir,3073
Reservoir VIC 3073,2,2,1,116.5,,New Developments,"North Facing, Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Reservoir,3073
"11 Elda Court, Cranbourne North VIC 3977",2,3,1,518,"$665,000 - $680,000",House,,VIC,Cranbourne North,3977
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
Reservoir VIC 3073,2,2,1,127,,New Developments,"Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Dishwasher, Bath, Secure Parking, Balcony / Deck",VIC,Reservoir,3073
"33 Banfield Avenue, Mooroopna VIC 3629",2,4,2,720,"$600,000 - $650,000",House,,VIC,Mooroopna,3629
"602/19 Judd Street, Richmond VIC 3121",2,2,1,,"$700,000 - $770,000",Apartment,"Balcony, Courtyard, Outdoor Entertainment Area, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Floorboards, Pay TV Access, Air Conditioning, Split-System Air Conditioning",VIC,Richmond,3121
Carnegie VIC 3163,3,3,1,147.83,,Townhouse/Villa,"Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Carnegie,3163
"4/54 Clarendon Street, Thornbury VIC 3071",2,2,1,,"$800,000 - $880,000",Townhouse/Villa,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Pay TV Access, Study, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Ensuite",VIC,Thornbury,3071
Carnegie VIC 3163,3,3,1,145.71,,Townhouse/Villa,"Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Carnegie,3163
"1 Pasture Place, Bundoora VIC 3083",2,4,2,164,"$660,000 - $720,000",Townhouse/Villa,Study,VIC,Bundoora,3083
"65 Bridge Street, Port Melbourne VIC 3207",4,5,2,547,"Accepting Offers in Vicinity of $3,000,000",House,,VIC,Port Melbourne,3207
"6 Desmond Court, Greensborough VIC 3088",2,3,2,709,"ESR: $1,100,000 - $1,200,000",House,,VIC,Greensborough,3088
"NO 19 Buloke Drive, Teesdale VIC 3328",0,0,0,4154,"$449,000",Land,,VIC,Teesdale,3328
"9 Zinnia Street, Reservoir VIC 3073",2,5,2,500,"$780,000 - $850,000",House,Study,VIC,Reservoir,3073
Clyde VIC 3978,0,0,0,350,"$375,000 - $395,000",Land,,VIC,Clyde,3978
Oak Park VIC 3046,3,3,2,206.88,,Townhouse/Villa,"Air conditioning, Floorboards, Alarm System, Intercom, Built in wardrobes, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Oak Park,3046
Oak Park VIC 3046,3,3,2,178.06,,Townhouse/Villa,"Air conditioning, Floorboards, Alarm System, Built in wardrobes, Intercom, Bath, Dishwasher, Secure Parking, Balcony / Deck",VIC,Oak Park,3046
"Lot 112 Possum Rise, Kilmore VIC 3764",2,4,2,651,"$741,714",House,,VIC,Kilmore,3764
"Lot 109 Possum Rise, Kilmore VIC 3764",2,4,2,830,"$790,400",House,,VIC,Kilmore,3764
Tarneit VIC 3029,2,5,2,166.82,"$559,900",House,Ensuite,VIC,Tarneit,3029
"1/10 Balmoral Street, Essendon VIC 3040",1,3,1,,"$850,000 - $900,000",Apartment,,VIC,Essendon,3040
"30 East Road, Seaford VIC 3198",2,3,2,1141,"$1,100,000 - $1,200,000",House,,VIC,Seaford,3198
"883/22-24 Jane Bell Lane, Melbourne VIC 3000",2,3,2,,"$1,400,000",Apartment,,VIC,Melbourne,3000
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"4A Murrays Lane, Murchison VIC 3610",2,3,3,,"$495,000-$510,000",House,,VIC,Murchison,3610
"Lot 20 Vineyard Ave, Avenel VIC 3664",2,4,2,1750,"$808,865",House,Dishwasher,VIC,Avenel,3664
"231 Daisy Street, Officer VIC 3809",2,3,2,294,"$792,155 - Turnkey Fixed Price Build",House,"Fully Fenced, Remote Garage, Secure Parking, Alarm System, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Study, Ducted Heating, Split-System Air Conditioning, Ensuite",VIC,Officer,3809
"Lot 58 Mayfield Cr, Kilmore VIC 3764",2,4,2,607,"$727,130",House,,VIC,Kilmore,3764
"Lot 11 Vineyard Ave, Avenel VIC 3664",2,4,2,5111,"$981,100",House,Dishwasher,VIC,Avenel,3664
"139 Elizabeth Street, Coburg North VIC 3058",2,3,2,400,"$1,370,000 - $1,507,000",House,Ensuite,VIC,Coburg North,3058
"1 Winton Street, Charlemont VIC 3217",2,3,2,392,"$595,000 - $645,000",House,"Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Ensuite, Carpeted, Dishwasher",VIC,Charlemont,3217
"20/21 McKenzie Street, Wonthaggi VIC 3995",1,2,1,450,,Apartment,,VIC,Wonthaggi,3995
"Lot 231 Climbing Drive, Wyndham Vale VIC 3024",2,4,2,263,,House,,VIC,Wyndham Vale,3024
"3 Dublin Road, Ringwood East VIC 3135",1,3,2,670,"$880,000-$965,000",House,,VIC,Ringwood East,3135
"10 Redan Street, Bendigo VIC 3550",2,4,2,636,"$435,000 - $455,000",House,,VIC,Bendigo,3550
"39 Neill Street, Rushworth VIC 3612",0,0,0,1273,,House,"Shed, Fully fenced",VIC,Rushworth,3612
"61 Ian Road, Mount Martha VIC 3934",2,4,2,1025,"$1,290,000 - $1,390,000",House,,VIC,Mount Martha,3934
"57 Stockman Way, Longwarry VIC 3816",2,3,2,518,"$680,000",House,,VIC,Longwarry,3816
"8A Albert Street, Maryborough VIC 3465",1,3,2,,"$425,000 - $445,000",House,Laundry,VIC,Maryborough,3465
"96 Goulburn Road, Echuca VIC 3564",2,3,3,539,"$405,000",House,Air conditioning,VIC,Echuca,3564
"1/9 Reynolds Parade, Pascoe Vale South VIC 3044",3,3,2,,"$950,000 Townhouse 1","Townhouse/Villa,New Developments","Courtyard, Fully Fenced, Remote Garage, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Split-System Air Conditioning, Split-System Heating",VIC,Pascoe Vale South,3044
"9 Learmonth Court, Caroline Springs VIC 3023",2,4,2,770,"$1,000,000 - $1,100,000 I CALL NOW",House,"Ensuite, Built in wardrobes, Internal Laundry, Pets allowed, Heating, Dishwasher, Study, Fully fenced, Garden / Courtyard, Swimming Pool",VIC,Caroline Springs,3023
"9 Amelia Pl, Harkness VIC 3337",2,4,2,603,"$640,000 - $680,000",House,,VIC,Harkness,3337
"135 ANZAC AVENUE, Seymour VIC 3660",2,4,5,745,"$589,000",House,"Fully Fenced, Built-in Wardrobes, Dishwasher, Air Conditioning, Ducted Heating, Evaporative Cooling, Gas Heating",VIC,Seymour,3660
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"919 Trevaskis Road, Kyabram VIC 3620",1,3,0,161874.2568,"$649,000 - $679,000",Any,,VIC,Kyabram,3620
"15 Barrington Lane, Sunbury VIC 3429",2,4,3,19700,Expressions of interest,House,"Bath, Courtyard, Heating, Shed, Built-ins, community, Built, Study, Deck, Carport, Close-to-Shops, Close-to-Transport, Secure-Parking, Entertainment-Area, Air-Conditioning, Close-to-Parklands, Close-to-Schools, Quiet-Location, Outdoor-Area, Ensute, Rumpus-Room, Fireplace-s, Hot-Water-Service, Remote-Garage, Living-Area, Shower-Facilities",VIC,Sunbury,3429
"312/812 Sydney Road, Brunswick VIC 3056",2,2,2,,"$680,000 - $730,000",Apartment,,VIC,Brunswick,3056
"13 Simpson Street, Kyneton VIC 3444",2,3,2,1000,"$1,445,000 - $1,495,000",House,,VIC,Kyneton,3444
"304/65 Beach Street, Port Melbourne VIC 3207",2,2,1,,Contact Agent,Apartment,,VIC,Port Melbourne,3207
"271 Old Hamilton Road, Haven VIC 3401",3,4,2,4931,,House,,VIC,Haven,3401
"19 Colorado Parade, Berwick VIC 3806",0,0,0,400,"$30,000 rebate on Contract Price",Land,,VIC,Berwick,3806
"1904/9-11 Prospect St, Box Hill VIC 3128",2,2,1,,"$685,745",Apartment,"Balcony, Outdoor Entertainment Area, Outside Spa, Remote Garage, Secure Parking, Swimming Pool - Above Ground, Swimming Pool - In Ground, Alarm System, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Ducted Vacuum System, Floorboards, Gym, Study, Air Conditioning, Ducted Cooling, Ducted Heating, Evaporative Cooling, Gas Heating, Hydronic Heating, Split-System Air Conditioning, Split-System Heating",VIC,Box Hill,3128
"12/237 Hampton Street, Hampton VIC 3188",1,2,2,,"$700,000 - $750,000",Apartment,,VIC,Hampton,3188
"11 Pirka Way, Werribee VIC 3030",0,0,0,370,"$350,000 - $370,000",Land,,VIC,Werribee,3030
"506/36 Prospect Street, Box Hill VIC 3128",1,1,1,,"$566,000",Apartment,"Balcony, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Air Conditioning, Split-System Air Conditioning",VIC,Box Hill,3128
"27 Yosemite Street, Point Cook VIC 3030",2,4,2,448,"$815,000 - $845,000",House,,VIC,Point Cook,3030
Wallan VIC 3756,0,0,0,444,"$350,000",Land,,VIC,Wallan,3756
"14 Landmark Crescent, Manor Lakes VIC 3024",2,3,1,320,"$540,000 - $560,000",House,"Ensuite, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking",VIC,Manor Lakes,3024
"801/18 Albert Street, Footscray VIC 3011",1,1,0,,"$399,500",Apartment,"Balcony, Outdoor Entertainment Area, Alarm System, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Air Conditioning",VIC,Footscray,3011
"24 Mcrae Street, Lakes Entrance VIC 3909",2,4,4,797,"$850,000.00",House,"Ensuite, Indoor Spa, Built in wardrobes, Internal Laundry, Pets allowed, Fully fenced, Balcony / Deck, Water Views",VIC,Lakes Entrance,3909
"39 Douthie Road, Seville East VIC 3139",2,3,6,,"$990,000-$1,080,000",House,"Balcony / Deck, Built in wardrobes, Garden / Courtyard, Floorboards, Fully fenced, Heating, Outdoor Entertaining, Secure Parking, Shed, Solar panels, Rainwater storage tank, Workshop, Ensuite",VIC,Seville East,3139
"2/484 Nepean Highway (Corner Wimborne Avenue), Chelsea VIC 3196",1,2,2,,,Apartment,"Ensuite(s), Secure parking, Air conditioning, Ensuite, Floorboards, Intercom, Built in wardrobes, Internal Laundry, Gas, Separate Dining Room, Heating, Dishwasher, Study, Balcony / Deck",VIC,Chelsea,3196
"6/79 Droop Street, Footscray VIC 3011",1,1,1,,"$250,000 - $270,000",Apartment,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Carpeted",VIC,Footscray,3011
"5 Nagle Court, Mount Waverley VIC 3149",2,4,2,695,Contact Agent,House,"Air Conditioning, Built-In Wardrobes, Bush Retreat, Close to Transport, Close to Shops, Close to Schools, Ensuite, Car Parking - Surface, Carpeted, Existing Fitout, Toilet Facilities, Broadband Internet Available, Courtyard, Dishwasher, Floorboards",VIC,Mount Waverley,3149
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"97 Spearmint Boulevard, Manor Lakes VIC 3024",2,5,2,448,Contact Agent,House,"Air conditioning, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Broadband internet access, Bath, Heating, Dishwasher, Study, Secure Parking, Fully fenced, Solar panels",VIC,Manor Lakes,3024
"4 Rocky Street, Cranbourne East VIC 3977",2,4,2,,"Price - $760,000-$830,000",House,,VIC,Cranbourne East,3977
"6/6 The Esplanade, Dennington VIC 3280",2,3,2,293,$565000,Townhouse/Villa,"Built in wardrobes, Close to Schools, Close to Shops, Garden / Courtyard, Dishwasher, First Home Buyer, Remote Garage, Air conditioning, Heating",VIC,Dennington,3280
"125 Park Orchard Dr, Pakenham VIC 3810",2,3,2,315,"$600,000 - $640,000",House,,VIC,Pakenham,3810
"12 Cranhaven Road, Langwarrin VIC 3910",3,5,2,661,"$970,000 - $1,065,000",House,"Balcony / Deck, Dishwasher, Fully fenced, Heating, Outdoor Entertaining, Outdoor Spa, Air conditioning, Study, Rainwater storage tank",VIC,Langwarrin,3910
"7 Irons Court, Epping VIC 3076",2,4,2,663,AUCTION Sat 13 July 10am,House,"Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Ensuite",VIC,Epping,3076
"74 Munro Street, Ascot Vale VIC 3032",1,2,0,,"$900,000 - $990,000",House,,VIC,Ascot Vale,3032
"4/4 Pratt Street, Reservoir VIC 3073",1,2,1,,"AUCTION ESR  $495,000 - $544,500",Apartment,"Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Split System Cooling, Outdoor Entertaining Area",VIC,Reservoir,3073
"20 Thornton Way, Yarrawonga VIC 3730",2,5,4,1020,"$980,000",House,"Air conditioning, Secure Parking, Swimming Pool, Indoor Spa, Outdoor Spa, Shed, Fully fenced, Built in wardrobes, Dishwasher, Gas Heating, Out door entertaining area, Solar panels",VIC,Yarrawonga,3730
"26 Railway Road, Mirboo North VIC 3871",2,4,4,2150,"$899,000",House,"Built in wardrobes, Close to Shops, Balcony / Deck, Dishwasher, Air conditioning, Heating, Electric Hot Water Service, Fireplace, Fully fenced, Garden, Outdoor Entertaining, Remote Garage, Secure Parking, Separate Lounge, Ensuite",VIC,Mirboo North,3871
"39 Hawkstone Road, Manor Lakes VIC 3024",2,4,2,400,"$620,000 - $650,000",House,"Air conditioning, Ensuite, Floorboards, Built in wardrobes, Heating, Dishwasher, Secure Parking",VIC,Manor Lakes,3024
"71 GILBEE ROAD, Truganina VIC 3029",2,4,2,355,"$610,000 - $640,000",House,Ensuite,VIC,Truganina,3029
"3 Padua Court, Gladstone Park VIC 3043",1,3,2,623,"On Site Auction: $590,000 - $649,000",House,,VIC,Gladstone Park,3043
"34 Kurrajong Road, Warragul VIC 3820",2,3,3,630,"$689,000",House,Study,VIC,Warragul,3820
"106/471 Maroondah Highway, Lilydale VIC 3140",2,2,1,,,"House,Any",Ensuite,VIC,Lilydale,3140
"1-3/6 Lambassa Grove, Reservoir VIC 3073",2,3,2,,Price on Application,Townhouse/Villa,"Air Conditioning, Heating, Cooling",VIC,Reservoir,3073
"6 Shona Place, Mount Martha VIC 3934",2,3,4,1916,"$2,800,000 - $3,080,000",House,"Area Views, Built-In Wardrobes, Close to Shops, Close to Schools, Ensuite, Water Views, Prestige Homes, Kitchenette",VIC,Mount Martha,3934
"Residence 3/496 Glenferrie Road, Hawthorn VIC 3122",3,4,2,,"$2,800,000 - $2,980,000",House,,VIC,Hawthorn,3122
"Unit 1/3 Sutherland St, Stawell VIC 3380",2,3,1,,"$349,000",Apartment,,VIC,Stawell,3380
"Lot 236 Rise Boulevard, Traralgon VIC 3844",2,4,2,528,"$646,100 Fixed Price",House,"Outdoor Entertainment Area, Remote Garage, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Ensuite",VIC,Traralgon,3844
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"402/60 Edgewater Boulevard, Maribyrnong VIC 3032",2,2,1,,Contact Agent,Apartment,,VIC,Maribyrnong,3032
"9 Chesterton Avenue, Tarneit VIC 3029",2,3,2,649,"$600,000 - $660,000",House,,VIC,Tarneit,3029
"1/2 Adler Grove, Coburg North VIC 3058",2,3,1,,"$790,000 - $840,000",House,,VIC,Coburg North,3058
"504/166 Rouse Street, Port Melbourne VIC 3207",1,2,1,,"$680,000 - $720,000",Apartment,,VIC,Port Melbourne,3207
"508 Doveton Street North, Soldiers Hill VIC 3350",4,4,2,499,"$615,000 - $635,000",House,,VIC,Soldiers Hill,3350
"27 Maxwell Street, Cardigan VIC 3352",2,5,5,2380,"$980,000 - $1,020,000",House,,VIC,Cardigan,3352
"269-271 Princes Highway, Corio VIC 3214",0,0,0,1392,"$1,000,000 - $1,100,000",Land,,VIC,Corio,3214
"29 Biram Drive, Warragul VIC 3820",1,3,1,642,"$535,000",House,,VIC,Warragul,3820
"136 Emerald-Monbulk Road, Emerald VIC 3782",3,4,3,4300,"$1,250,000 - $1,350,000",House,"Ensuite, Study, Dishwasher, Built-in Robes, Workshop, Floorboards, Fireplace, Broadband, Ducted Heating, Outdoor Entertainment, Shed, Fully Fenced",VIC,Emerald,3782
"6 Manchester Circuit, Longwarry VIC 3816",2,3,2,304,"$520,000-$550,000",House,,VIC,Longwarry,3816
"1/11 Yeovil Court, Wheelers Hill VIC 3150",2,4,2,,Auction,Townhouse/Villa,,VIC,Wheelers Hill,3150
"1 Marjoram St, Mickleham VIC 3064",3,5,2,478,Auction Saturday 6th July,House,Ensuite,VIC,Mickleham,3064
"11 Eucalypt Court, Langwarrin VIC 3910",2,4,3,875,"$1,000,000 - $1,100,000",House,"Floorboards, Internal Laundry, Pets allowed, Bath, Heating, Dishwasher, Study, Secure Parking, Balcony / Deck",VIC,Langwarrin,3910
"1 Palm Court, Templestowe Lower VIC 3107",4,5,2,656,"$2,700,000 - $2,900,000",House,,VIC,Templestowe Lower,3107
"2106/35 Malcolm Street, South Yarra VIC 3141",1,2,1,,"$550,000 - $580,000",Apartment,,VIC,South Yarra,3141
"14/85 Bulla Road, Essendon North VIC 3041",3,3,2,,Contact Agent,Townhouse/Villa,,VIC,Essendon North,3041
"2/1 Goldsmith Avenue, Preston VIC 3072",1,2,1,,AUCTION Sat 13 Jul 11:00am,Apartment,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools",VIC,Preston,3072
"77 Napier St, Stawell VIC 3380",1,3,1,,"$395,000 - $415,000",House,,VIC,Stawell,3380
"36 Burns Street, Maryborough VIC 3465",1,3,1,,"$420,000 - $440,000",House,Laundry,VIC,Maryborough,3465
"190 Palmer Road, Sunbury VIC 3429",2,4,4,145686.83112,"$1,490,000 - $1,600,000",House,,VIC,Sunbury,3429
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"58 Balmoral Circuit, Sunbury VIC 3429",3,6,2,1155,"$1,100,000 - $1,200,000",House,Study,VIC,Sunbury,3429
"10 Blantyre Avenue, Chelsea VIC 3196",1,1,0,548,"$895,000 - $980,000",House,,VIC,Chelsea,3196
"3 Katherine Court, Hamilton VIC 3300",2,3,2,875,,House,Ensuite,VIC,Hamilton,3300
"2/21 Basil Street, Newport VIC 3015",2,3,2,,"$830,000 - $900,000",House,,VIC,Newport,3015
"3/51 King Parade, Knoxfield VIC 3180",2,3,2,,"AUCTION $840,000-$924,000",Apartment,,VIC,Knoxfield,3180
"14 Bendoc Street, Wollert VIC 3750",2,3,1,,Contact Agent,House,"Close to Transport, Close to Shops, Close to Schools",VIC,Wollert,3750
"2 Junction Road, Beechworth VIC 3747",1,3,1,744,"$595,000",House,"Air Conditioning, Heating, Close to Schools, Car Parking - Surface",VIC,Beechworth,3747
"320 Central Kialla Road, Kialla VIC 3631",2,4,5,225100,Expressions of Interest Close 11th of July at Noon,Rural,Study,VIC,Kialla,3631
"4210/45 Clarke Street, Southbank VIC 3006",2,2,0,,"$600,000 - $630,000",Apartment,,VIC,Southbank,3006
"2624 Harlem Way, Berwick VIC 3806",2,4,1,244,"$706,869 - Fixed Price Home and Land Package",House,"Fully Fenced, Remote Garage, Secure Parking, Alarm System, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Pay TV Access, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Ensuite",VIC,Berwick,3806
"1 Glen Court, Narre Warren VIC 3805",2,3,3,802,"$780,000 - $858,000",House,Study,VIC,Narre Warren,3805
"60 Bells Road, Clyde VIC 3978",0,0,0,275,"$340,000 - $360,000",Land,,VIC,Clyde,3978
"9 Outback Drive, Doreen VIC 3754",2,3,2,250,Auction Saturday 13th July at 1:30pm,House,,VIC,Doreen,3754
"2 Cameron Street, Maryborough VIC 3465",1,4,2,665,"$349,000 - $369,000",House,"Heating, Built-In Wardrobes, Dishwasher, Fully Fenced",VIC,Maryborough,3465
"44 Bullion Avenue, Wollert VIC 3750",2,3,2,,AUCTION Sat 13 Jul 11:00am,House,"Close to Transport, Close to Shops, Close to Schools, Study",VIC,Wollert,3750
"16/158 Napier Street, Essendon VIC 3040",1,1,1,,"$245,000 - $265,000",Apartment,,VIC,Essendon,3040
"31 Signal Circuit, Aintree VIC 3336",2,4,2,,Contact Agent,House,,VIC,Aintree,3336
"5 Polperro Court, Mornington VIC 3931",0,0,0,6001,"$2,500,000",Land,,VIC,Mornington,3931
"104/80 Bulla Road, Strathmore VIC 3041",2,2,0,,Contact Agent,Apartment,,VIC,Strathmore,3041
"46 River Street, Newport VIC 3015",2,4,1,,"$1,450,000 - $1,550,000",House,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops",VIC,Newport,3015
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"45 Marine Drive, Safety Beach VIC 3936",2,3,2,495,$2.5 - $2.75 million,Any,"Air Conditioning, Heating, Area Views, Built-In Wardrobes, Close to Transport, Close to Shops, Alarm System, Water Front, Intercom, Close to Schools, Ensuite, Water Views, Beach Front, City Views, Security Access, Lift Installed, Prestige Homes, Car Parking - Surface, Carpeted, Disabled Access, High Clearance, Kitchenette, Openable Windows, Roller Door Access, Security System, Broadband Internet Available, Courtyard, Dishwasher, Floorboards, Fully Fenced, Study",VIC,Safety Beach,3936
"4/14 Ross Street, Darley VIC 3340",1,1,1,109,"$270,000 - $290,000",Apartment,"Built-In Wardrobes, Courtyard, Dishwasher, Floorboards, Fully Fenced",VIC,Darley,3340
"277 Yallambie Road, Yallambie VIC 3085",2,4,2,,"Auction $890,000 - $970,000",House,,VIC,Yallambie,3085
"306/761 Station Street, Box Hill North VIC 3129",2,2,1,,"$540,000",Apartment,,VIC,Box Hill North,3129
"4 Everlasting Road, Officer VIC 3809",0,0,0,512,Contact Agent,Land,,VIC,Officer,3809
"8 Prospect Road, Wollert VIC 3750",0,0,0,348,"$395,000 - $420,000",Land,,VIC,Wollert,3750
"4 Lowery Court, Maryborough VIC 3465",1,3,1,,"$430,000 - $440,000",House,Laundry,VIC,Maryborough,3465
"14 Turin Avenue, Deanside VIC 3336",2,3,1,272,"$580,000 - $610,000",House,,VIC,Deanside,3336
"610E/878 Collins Street, Docklands VIC 3008",1,2,0,,"$425,000 - $465,000",Apartment,"Built-in Robes, Gym, Air-Conditioner, Split System Heating, Intercom, Swimming Pool",VIC,Docklands,3008
"70 Pincinis Lane, Mirboo North VIC 3871",1,3,0,663684.45288,Contact Agent,Rural,"Shed, Water Tank",VIC,Mirboo North,3871
"224 Must Street, Portland VIC 3305",0,0,0,768,"$189,000",Land,,VIC,Portland,3305
"8 Formula Drive, Wollert VIC 3750",3,4,2,441,Contact Agent,House,,VIC,Wollert,3750
"61 Rosemond Way, Bannockburn VIC 3331",2,3,2,693,"$755,000 - $785,000",House,"Fully Fenced, Outdoor Entertainment Area, Secure Parking, Broadband Internet Available, Dishwasher, Study, Gas Heating, Ensuite",VIC,Bannockburn,3331
"6 Merri Street, Templestowe Lower VIC 3107",3,4,2,,$1.98m - $2.178m,Townhouse/Villa,,VIC,Templestowe Lower,3107
"4/59 Houston Street, Epping VIC 3076",1,2,1,,Contact Agent,Apartment,,VIC,Epping,3076
"4 San Fratello Street, Clyde North VIC 3978",2,4,2,448,"$700,000 - $770,000",House,"Fully Fenced, Outdoor Entertainment Area, Remote Garage, Built-in Wardrobes, Dishwasher, Ducted Heating, Evaporative Cooling",VIC,Clyde North,3978
"8 Edwards St, Lindenow VIC 3865",2,3,0,514,"$430,000 - $450,000",House,,VIC,Lindenow,3865
"9 Archer Ave, Lucknow VIC 3875",2,4,2,657,"$650,000 - $675,000",House,,VIC,Lucknow,3875
"283 Harvest Home Road, Epping VIC 3076",2,3,2,480,Contact Agent,House,"In-ground Pool (Heated), Inground Pool",VIC,Epping,3076
"2 Koala Court, Doncaster East VIC 3109",1,3,4,841,$1.25m - $1.35m,House,,VIC,Doncaster East,3109
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"558 Heather Grove, Clyde North VIC 3978",2,4,2,,"$650,000 – $699,900",House,"Ensuite, Fully Fenced, Study",VIC,Clyde North,3978
"8 Everglade Court, Viewbank VIC 3084",2,3,2,602,"$950,000 - $1,045,000",House,,VIC,Viewbank,3084
"339 Lot 437 Lunn Street, Officer VIC 3809",3,4,2,350,"$922,000",House,Ensuite,VIC,Officer,3809
"2/17 Pethajohn Parade, Grovedale VIC 3216",1,2,2,410,"$620,000 - $660,000",House,"Built In Robes, Courtyard, Dishwasher, Ducted Heating, Fully Fenced, Remote Garage, Secure Parking, Split System AirCon, Split System Heating",VIC,Grovedale,3216
"37 Plover Way, Kinglake West VIC 3757",0,0,0,43797,"$620,000 - $660,000",Land,,VIC,Kinglake West,3757
"13 Jean Place, Grovedale VIC 3216",2,4,2,888,"$959,000 -  $1,049,000",House,"Built In Robes, Dishwasher, Ensuite, Evaporative Cooling, Fully Fenced, Outdoor Ent., Pergola, Polished Floorboards, Remote Garage, Rumpus Room, Shed, Study, Water tank, Workshop",VIC,Grovedale,3216
"21 Eucalyptus Road, Eltham VIC 3095",2,4,2,4640,"$1,680,000 - $1,780,000",House,"Study, Balcony / Deck, Built in wardrobes, Dishwasher, Ducted Heating, Fireplace(s), Outdoor Entertainment Area, Rumpus Room",VIC,Eltham,3095
"5 Vigor Street, Blackwood VIC 3458",1,3,3,1040,"$495,000 to $545,000",House,"Balcony, Deck, Fully Fenced, Outdoor Entertainment Area, Remote Garage, Shed, Built-in Wardrobes, Floorboards, Study, Workshop, Gas Heating",VIC,Blackwood,3458
"29 Newton Street, Maryborough VIC 3465",1,3,2,,"$495,000",House,Laundry,VIC,Maryborough,3465
