address,bathrooms,bedrooms,parking,landArea,price,primaryPropertyType,propertyFeatures,state,suburb,postcode
"262 Midland Highway, Epsom VIC 3551",2,4,3,6848,"$1,200,000 - $1,300,000",House,"Ducted Heating, Evaporative Cooling, Kitchen, Built In Robes, Dishwasher, Outdoor Entertaining Area, Shed, Swimming Pool, Insulation, Laundry, Gas Hot Water",VIC,Epsom,3551
"2/12 Woodside Crescent, Toorak VIC 3142",2,3,1,,Auction Saturday 6 July at 12pm,Townhouse/Villa,,VIC,Toorak,3142
"27 Brossard Road, Mickleham VIC 3064",2,3,2,,"$580,000 - $620,000",House,,VIC,Mickleham,3064
"Lot 3048 Platoon Crescent, Berwick VIC 3806",2,4,2,281,,House,"Ensuite(s), Ensuite, Floorboards, Built in wardrobes, Pets allowed, Gas, Bath, Broadband internet access, Heating, Study, Double glazed windows, Wall / ceiling insulation, Secure Parking",VIC,Berwick,3806
"LOT  2232 BURGESS ROAD, Tarneit VIC 3029",2,4,2,350,,House,"Ensuite, Built in wardrobes, Secure Parking, BE IMPRESSED!!!",VIC,Tarneit,3029
"1317 Vicosa Drive, Armstrong Creek VIC 3217",2,4,2,3264,"From $1,588,119",House,"Alfresco, Dining, Ensuite, Family, Games, Laundry, Porch, Study, Walk-in Linen, Walk-in Pantry, Walk-in Robe, Provisional site costs, Floor Coverings & (Carpets & Vinyl Planks), Exposed Agg Finish driveway and under the front Porch & Verandah",VIC,Armstrong Creek,3217
"328 Coogee Grove, Portarlington VIC 3223",2,4,2,420,"From $1,285,507",House,"Alfresco, Balcony, Bedroom Downstairs, Dining, Ensuite, Family, Kid's Zone, Laundry, Lounge, Porch, Powder Room, Private Master Bedroom, Walk-in Pantry, Walk-in Robe, Main Living Areas on the Upper Floor, Provisional Site cost allowance, Double Glazed windows & sliding doors, Floor Coverings included (carpet & vinyl hybrid)",VIC,Portarlington,3223
"6 Woodman Road, Lethbridge VIC 3332",2,4,2,4585,"From $896,221",House,"Alfresco, Dining, Ensuite, Family, Laundry, Lounge, Pantry, Porch, Private Master Bedroom, Separate WC, Walk-in Pantry, Walk-in Robe, Provisional site cost allowance, All Electric, 7 Star, BAL12.5 & NCC compliant",VIC,Lethbridge,3332
"20 Longboard Avenue, Torquay VIC 3228",2,4,2,577,"From $1,683,579",House,"Alfresco, Butler's Pantry, Courtyard, Dining, Ensuite, Family, Kid's Zone, Laundry, Lounge, Mudroom, Porch, Powder Room, Study, Walk-in Linen, Walk-in Robe",VIC,Torquay,3228
"47 Huntingtower Avenue, Mickleham VIC 3064",2,4,2,299,"$600,000 - $650,000",House,"Ensuite, Built in wardrobes, Internal Laundry, Bath, Dishwasher, Secure Parking, Fully fenced, refrigerated heating and cooling, featured walls, luxury, brand new, great location",VIC,Mickleham,3064
"328 Coogee Grove, Portarlington VIC 3223",2,4,2,420,"From $1,289,250",House,"Alfresco, Balcony, Bedroom Downstairs, Dining, Ensuite, Family, Kid's Zone, Laundry, Lounge, Porch, Powder Room, Private Master Bedroom, Walk-in Pantry, Walk-in Robe, Main Living Areas on the Upper Floor, Provisional site cost allowance, Double Glazed windows & sliding doors, 900mm appliances, Floor coverings included (carpets & vinyl hybrid)",VIC,Portarlington,3223
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"825 Black Swan Drive, St Leonards VIC 3223",2,4,2,448,"From $940,392",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Powder Room, Walk-in Robe, Provisional site cost allowance, Double Glazed windows & sliding doors, Floor coverings included (carpets & vinyl planks)",VIC,St Leonards,3223
"827 Thornton Avenue, St Leonards VIC 3223",2,4,2,446,"From $940,392",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Powder Room, Walk-in Robe, Provisional site cost allowance, Double Glazed windows & sliding doors, Floor coverings included (carpets & vinyl planks)",VIC,St Leonards,3223
"823 Black Swan Drive, St Leonards VIC 3223",2,4,2,448,"From $911,814",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Powder Room, Walk-in Robe, Provisional site cost allowance, Double Glazed windows & sliding doors, Floor coverings included (carpets & tiles)",VIC,St Leonards,3223
"5 Woodman Road, Lethbridge VIC 3332",2,4,2,4000,"From $888,481",House,"Dining, Ensuite, Family, Laundry, Lounge, Porch, Private Master Bedroom, Walk-in Robe, Provisional site cost allowance, All Electric, 7 Star, BAL25, NCC compliant, Floor coverings included (carpet & vinyl planks)",VIC,Lethbridge,3332
"23 Alison Street, Thomastown VIC 3074",1,3,3,539,"$620,000 to $675,000",House,Split-System Air Conditioning,VIC,Thomastown,3074
"LOT  2215 SMETHURST ROAD, Tarneit VIC 3029",2,4,2,313,,House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Tarneit,3029
"10 Tall Tree Road, Lethbridge VIC 3332",2,4,2,4007,"From $1,010,914",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Powder Room, Verandah, Walk-in Linen, Walk-in Robe, Provisional site cost allowance, Termite Protection, Floor coverings included (carpets& vinyl planks)",VIC,Lethbridge,3332
"29 Grazier Court, Lethbridge VIC 3332",2,4,2,4746,"From $863,010",House,"Alfresco, Dining, Ensuite, Family, Laundry, Lounge, Porch, Separate WC, Walk-in Pantry, Walk-in Robe, Provisional site cost allowance, Termite protection, BAL12.5 & NCC22 compliant, Floor coverings included (carpets & vinyl plank)",VIC,Lethbridge,3332
"7 Woodman Road, Lethbridge VIC 3332",2,4,2,4000,"From $829,404",House,"Alfresco, Dining, Ensuite, Family, Laundry, Lounge, Porch, Walk-in Linen, Walk-in Robe, Provisional site cost allowance, Colorbond Roof, BAL12.5 & NCC22 compliant, Termite Protection, Floor coverings (carpets& vinyl planks)",VIC,Lethbridge,3332
"L541 Milesi Str, Armstrong Creek VIC 3217",2,4,2,350,"From $747,093",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Study, Walk-in Robe, Double Glazing Throughout, Colourbond Roof, Developer Requirements, Site Costs and Slab Allowance, Soft Close Cabinetry Throughout, Resort Facade",VIC,Armstrong Creek,3217
"no. 4 Bartail St, St Leonards VIC 3223",2,4,2,411,"From $718,744",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Walk-in Pantry, Walk-in Robe, Colorbond Roof, Beach Facade, Carpet & Vinyl Plank Flooring throughout, Double Glazing Throughout, BAL 12.5 & NCC Livable Housing Compliant, Price Includes Developer $30K Rebate",VIC,St Leonards,3223
"L85 Thornton Ave, St Leonards VIC 3223",2,4,2,446,"From $834,554",House,"Dining, Ensuite, Family, Laundry, Lounge, Porch, Private Master Bedroom, Walk-in Robe, 7 Star, 12.5 BAL & NCC Liveable Housing Compliant, Cat 2 Carpet & Vinyl Plank Flooring Throughout, Double Glazed Windows and Sliding Doors, Reverse Cycle Ducted Air Conditioning, H2 Slab Upgrade Allowance & Termite Protection, Price Includes $30k Developer Rebate",VIC,St Leonards,3223
"135 Woolamai Rise, Portarlington VIC 3223",2,4,2,420,"From $1,307,895",House,"Balcony, Bedroom Downstairs, Butler's Pantry, Dining, Ensuite, Family, Kid's Zone, Laundry, Lounge, Porch, Powder Room, Private Master Bedroom, Separate WC, Walk-in Pantry, Walk-in Robe, Main Living Areas on the Upper Floor, Provisional site cost allowance, Double Glazed windows & Sliding Doors, Floor coverings included (carpets & vinyl hybrid).",VIC,Portarlington,3223
"803 Black Swan Drive, St Leonards VIC 3223",2,4,2,517,"From $960,282",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Powder Room, Walk-in Robe, Provisional site costs, Double Glazed Windows & Sliding Doors, 900mm Westinghouse S/S appliances, Floor Coverings ( Carpets & Tiles)",VIC,St Leonards,3223
"826 Thornton Avenue, St Leonards VIC 3223",2,4,2,447,"From $935,172",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Powder Room, Walk-in Robe, Provisional site costs, Double Glazed Windows & Sliding Doors, 900mm Westinghouse S/S appliances, Floor Coverings ( Carpets & Tiles)",VIC,St Leonards,3223
"22 Longboard Avenue, Torquay VIC 3228",2,4,2,563,"From $1,657,795",House,"Alfresco, Butler's Pantry, Dining, Ensuite, Family, Kid's Zone, Laundry, Lounge, Porch, Powder Room, Walk-in Robe, Garage & Living on the same side, Provisional site costs, Subject to obtaining a soil report & survey, Double Glazed windows & Sliding Doors, NCC22 Compliant, Floor Coverings allowance",VIC,Torquay,3228
"4 Cutback Road, Torquay VIC 3228",2,4,2,514,"From $1,586,949",House,"Alfresco, Butler's Pantry, Courtyard, Dining, Ensuite, Family, Kid's Zone, Laundry, Lounge, Porch, Powder Room, Walk-in Linen, Walk-in Pantry, Walk-in Robe, Pavillion Style Home, Provisional site costs, Subject to receiving a soil report & survey, Double Glazed windows & sliding doors, Floor Covering allowance",VIC,Torquay,3228
"523 Gymea Street, Armstrong Creek VIC 3217",2,3,2,338,"From $686,041",House,"Alfresco, Dining, Ensuite, Family, Laundry, Porch, Walk-in Robe, Provisional site cost allowance, Double Glazed windows & Sliding Doors, Floor Coverings included (carpets & vinyl planks)",VIC,Armstrong Creek,3217
"315 Coogee Grove, Portarlington VIC 3223",2,4,2,420,"From $1,373,904",House,"Balcony, Bedroom Downstairs, Dining, Ensuite, Family, Kid's Zone, Laundry, Lounge, Porch, Powder Room, Private Master Bedroom, Retreat, Rumpus, Separate WC, Walk-in Pantry, Walk-in Robe, Main Living Areas on the Upper Floor, Provisional Site cost allowance, Double Glazed windows & sliding doors, Floor Coverings included (carpets & vinyl hybrid)",VIC,Portarlington,3223
"LOT 721 Charleston Road (Carolina Estate), Deanside VIC 3336",2,4,2,400,"$717,839",House,Ensuite,VIC,Deanside,3336
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"LOT 1839 Figtree Road (Deanside Village), Deanside VIC 3336",2,4,2,448,"$786,856",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Deanside,3336
"12 Lambert Street, Lakes Entrance VIC 3909",2,3,6,821,"$820,000",House,"Balcony/Patio/Terrace, Bath, Fireplace(s), Furnished, Heating, BBQ, Level Lawn, Pet Friendly, Storage Area, Close to Parklands, Close to Schools, Close to Shops, Close to Transport, Near Waterfront, Quiet Location, Beach/Coastal Property, Non Smoking, Air Conditioning, Internal Laundry, Polished Timber Floors, Dishwasher, Secure Parking, Living Area, Fully Fenced",VIC,Lakes Entrance,3909
"115 Bay Road, Eagle Point VIC 3878",1,2,1,604,,House,,VIC,Eagle Point,3878
Caulfield South VIC 3162,2,2,1,92,"$740,000 - $760,000",New Developments,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Solar Panels, Ensuite",VIC,Caulfield South,3162
